"individualID","uid","date","eventID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","patchSize","percentCover","height","diseaseType","obsYear"
"NEON.PLA.D16.ABBY.06026","d87b4696-01ea-4ccd-8d73-d6c9dec62635",2020-10-07,NA,"Patch","Full shade","Live",NA,NA,NA,NA,1,85,1.1,NA,2020
"NEON.PLA.D16.ABBY.06081","05e46f66-d0d5-4ff1-a523-82a58e2bc957",2020-10-07,NA,"Individual","Partially shaded","Live",15.2,130,4,3.7,NA,NA,9.2,NA,2020
"NEON.PLA.D16.ABBY.06074","739df872-57c1-4123-9401-49f2bf164d51",2020-10-07,NA,"Individual","Partially shaded","Live",2.4,130,3,2.3,NA,NA,4.1,NA,2020
"NEON.PLA.D16.ABBY.06007","320b5e40-d410-4637-badd-b6ed73574641",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,100,1,NA,2020
"NEON.PLA.D16.ABBY.06061","3f51c2c6-81b3-407f-95f2-b52a56eb8069",2020-10-07,NA,"Individual","Partially shaded","Live",55.2,130,9.6,8.8,NA,NA,37.4,NA,2020
"NEON.PLA.D16.ABBY.06183","2b6d630e-2924-46c7-864f-492dc23a10dd",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,70,0.7,NA,2020
"NEON.PLA.D16.ABBY.06084","473f522a-97fe-4adb-986d-564ec2fff8bb",2020-10-07,NA,"Individual","Partially shaded","Live",14.5,130,4.1,37,NA,NA,9.6,NA,2020
"NEON.PLA.D16.ABBY.06015","e91ec4e4-4470-48ef-b97d-c6aa64d5b079",2020-10-07,NA,"Individual","Full sun","Live",13.1,130,3.5,2.8,NA,NA,8.7,NA,2020
"NEON.PLA.D16.ABBY.06080","09c1e71b-d076-4c11-9b9a-95fd6b846b7a",2020-10-07,NA,"Individual","Partially shaded","Live",1,130,2.1,1.3,NA,NA,2.7,NA,2020
"NEON.PLA.D16.ABBY.06039","acc7cfec-3c28-49d1-a5d1-9324b31eca2b",2020-10-07,NA,"Individual","Mostly shaded","Live",2.9,10,0.5,0.7,NA,NA,0.8,NA,2020
"NEON.PLA.D16.ABBY.06047","b1869387-879c-4f01-8ee8-c5904a53a56f",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,100,0.8,NA,2020
"NEON.PLA.D16.ABBY.06062","613a81f2-b8cc-4321-870d-378c804cdc3b",2020-10-07,NA,"Patch","Full sun","Live",NA,NA,NA,NA,1,100,1,NA,2020
"NEON.PLA.D16.ABBY.06048","d7f44019-f473-45a5-992f-291779260bb6",2020-10-07,NA,"Individual","Mostly shaded","Live",1.9,130,1,0.8,NA,NA,3.4,NA,2020
"NEON.PLA.D16.ABBY.06055","f8678332-a9d8-4bc3-b786-b0eea1b1e7a0",2020-10-07,NA,"Individual","Partially shaded","Live",7.1,134,2.8,2.4,NA,NA,5.9,NA,2020
"NEON.PLA.D16.ABBY.06035","30f1d754-8031-44b1-826a-33496ef21ed3",2020-10-07,NA,"Individual","Mostly shaded","Live",1.4,130,1.8,1.7,NA,NA,8.4,NA,2020
"NEON.PLA.D16.ABBY.06085","d2047d6c-ad4c-4a4a-83e9-cf1753d22ba2",2020-10-07,NA,"Individual","Mostly shaded","Live",2.6,10,0.9,0.9,NA,NA,2,NA,2020
"NEON.PLA.D16.ABBY.06016","017746ab-6d51-4059-a830-fba5277b02b0",2020-10-07,NA,"Individual","Mostly shaded","Live",1.8,10,1.5,0.6,NA,NA,1.4,NA,2020
"NEON.PLA.D16.ABBY.06030","5121f3e7-b34e-449b-9cfd-1600d744b206",2020-10-07,NA,"Individual","Partially shaded","Live",12,130,3.5,3,NA,NA,9.1,NA,2020
"NEON.PLA.D16.ABBY.06100","e60bdab6-e1b3-4a1a-ad64-5e91902c0da1",2020-10-07,NA,"Individual","Partially shaded","Live",9.4,130,3.4,3.3,NA,NA,8.4,NA,2020
"NEON.PLA.D16.ABBY.06179","7ce6bdd9-751b-4946-b673-187781a6fce6",2020-10-07,NA,"Individual","Partially shaded","Live",3.1,130,1.6,1.6,NA,NA,3.8,NA,2020
"NEON.PLA.D16.ABBY.06008","4a1e826f-9181-40b1-97ca-94dca4018660",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,75,0.7,NA,2020
"NEON.PLA.D16.ABBY.06200","4176a7f2-3003-4500-a873-7f1bf42eb6ba",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,80,0.7,NA,2020
"NEON.PLA.D16.ABBY.06065","3f090c7d-59df-4ecc-9ba9-7b923b65fe69",2020-10-07,NA,"Individual","Partially shaded","Live",1.2,130,2.7,1.3,NA,NA,3.1,NA,2020
"NEON.PLA.D16.ABBY.06098","68fa9c8e-333b-45e6-953b-6c7635d6fc0d",2020-10-07,NA,"Individual","Mostly shaded","Live",1.1,130,2.7,1.7,NA,NA,2.4,NA,2020
"NEON.PLA.D16.ABBY.06052","5b0ff273-dcaa-48e7-bfaa-0b544ec82a7a",2020-10-07,NA,"Individual","Full sun","Live",111.3,130,14.7,12.1,NA,NA,47.2,NA,2020
"NEON.PLA.D16.ABBY.06034","444878d1-64ec-4f00-b055-6ae3baaaeb64",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,100,0.7,NA,2020
"NEON.PLA.D16.ABBY.06033","6c74d87f-0ce7-4afb-98f3-5604e95404d1",2020-10-07,NA,"Individual","Partially shaded","Live",2.5,130,3.2,2.9,NA,NA,3.8,NA,2020
"NEON.PLA.D16.ABBY.06041","42d7f02f-c888-4aee-92d3-6af7c2a3784f",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,70,0.7,NA,2020
"NEON.PLA.D16.ABBY.06177","73c26ee1-06e3-4171-8ac6-7037eb569440",2020-10-07,NA,"Individual","Partially shaded","Live, disease damaged",16.9,130,5.2,5,NA,NA,11.7,"Swiss needle cast",2020
"NEON.PLA.D16.ABBY.06089","47badec2-994a-4ff4-9abb-eec708951ef9",2020-10-07,NA,"Individual","Mostly shaded","Live",1.4,130,1.2,1,NA,NA,3.1,NA,2020
"NEON.PLA.D16.ABBY.06077","38fae105-f026-4d42-98b7-0f61587f0ae7",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,90,0.8,NA,2020
"NEON.PLA.D16.ABBY.06090","948eb2ba-c243-41ca-8343-11a56542f7a9",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,90,0.9,NA,2020
"NEON.PLA.D16.ABBY.06029","674e5229-6af8-4009-9ecf-2e426ded58c2",2020-10-07,NA,"Individual","Full sun","Live",2,130,2.4,1.8,NA,NA,3.8,NA,2020
"NEON.PLA.D16.ABBY.06028","2a3a9672-3d97-438c-aec5-a6362e4cf3f3",2020-10-07,NA,"Individual","Partially shaded","Live",17.9,130,4.9,4.5,NA,NA,8.7,NA,2020
"NEON.PLA.D16.ABBY.06027","456fc0e0-317c-40be-9595-4f59d886fed1",2020-10-07,NA,"Individual","Partially shaded","Live",3.6,130,6,5,NA,NA,4.1,NA,2020
"NEON.PLA.D16.ABBY.06073","38479537-0975-47ea-a818-137144245295",2020-10-07,NA,"Individual","Partially shaded","Live",17.9,130,5.3,4.9,NA,NA,10.7,NA,2020
"NEON.PLA.D16.ABBY.06092","3349d02d-04ff-45ab-9836-188d396ad786",2020-10-07,NA,"Individual","Full sun","Live",1.9,130,2.8,2.1,NA,NA,3,NA,2020
"NEON.PLA.D16.ABBY.06091","aed156ad-43ce-43e6-9eef-2cf9dcf46cda",2020-10-07,NA,"Individual","Partially shaded","Live",16,130,4.5,4.5,NA,NA,6.9,NA,2020
"NEON.PLA.D16.ABBY.06003","0266163a-6495-4344-bf74-1be13e680f47",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,100,1,NA,2020
"NEON.PLA.D16.ABBY.06187","ca9cae88-238f-4ebf-b69e-3081665707a1",2020-10-07,NA,"Individual","Partially shaded","Live",18.7,155,5.5,5.2,NA,NA,10.5,NA,2020
"NEON.PLA.D16.ABBY.06004","5f418b89-9de3-41f3-bb0a-c71c1f287890",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,80,0.8,NA,2020
"NEON.PLA.D16.ABBY.06021","684af8c4-9bb9-4629-83c5-b521ada2cfe2",2020-10-07,NA,"Individual","Partially shaded","Live",89.9,130,11.3,10.7,NA,NA,39.7,NA,2020
"NEON.PLA.D16.ABBY.06036","9f79c3b6-4ebb-405f-95e3-a1118b17282d",2020-10-07,NA,"Individual","Partially shaded","Live",8.1,136,3.3,2.9,NA,NA,6.5,NA,2020
"NEON.PLA.D16.ABBY.06196","11af975e-66b3-45da-9698-ab4a62498dd6",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,60,0.6,NA,2020
"NEON.PLA.D16.ABBY.06095","d4dacade-a2a8-451b-bdc3-9a9067f0ef2f",2020-10-07,NA,"Individual","Partially shaded","Live",1.4,130,2.5,1,NA,NA,3.8,NA,2020
"NEON.PLA.D16.ABBY.06051","a0899034-47fb-4bb4-8646-d4f4d7966d8f",2020-10-07,NA,"Individual","Partially shaded","Live",1.6,130,3,2.3,NA,NA,2.8,NA,2020
"NEON.PLA.D16.ABBY.06063","9070c148-1e1a-444f-a044-253a4892e594",2020-10-07,NA,"Individual","Full sun","Live",1.9,130,4.7,4,NA,NA,3.3,NA,2020
"NEON.PLA.D16.ABBY.06178","9fd7816b-b72c-4184-ba1b-8cffc020544b",2020-10-07,NA,"Individual",NA,"Live",14.8,135,3.8,3.2,NA,NA,9.3,NA,2020
"NEON.PLA.D16.ABBY.06012","b03f565f-a500-4b4e-95f3-28021cdf8836",2020-10-07,NA,"Individual","Partially shaded","Live",2.4,130,3.3,2.5,NA,NA,4.4,NA,2020
"NEON.PLA.D16.ABBY.06037","0648c0c1-2685-4470-9288-26cfd386fddc",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,50,0.8,NA,2020
"NEON.PLA.D16.ABBY.06022","69f4258b-bf19-400c-89d2-26943980b524",2020-10-07,NA,"Individual","Full sun","Live",2.7,130,4.5,3.7,NA,NA,5.8,NA,2020
"NEON.PLA.D16.ABBY.06070","7a71d5da-f7a4-4133-9b53-b025c18d6d56",2020-10-07,NA,"Individual","Partially shaded","Live",10.4,130,4,3.3,NA,NA,9.3,NA,2020
"NEON.PLA.D16.ABBY.06045","04ea431f-528f-4795-84c5-ab796c89f92b",2020-10-07,NA,"Individual","Partially shaded","Live",9.7,130,3.3,2.7,NA,NA,8.7,NA,2020
"NEON.PLA.D16.ABBY.06053","e8249366-75ea-49a4-866c-64b8c72ca9b8",2020-10-07,NA,"Individual","Partially shaded","Live",1.4,130,1.8,1.8,NA,NA,1.9,NA,2020
"NEON.PLA.D16.ABBY.06198","e5529433-88ed-430b-bf8a-7dbe9a9b457a",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,100,0.9,NA,2020
"NEON.PLA.D16.ABBY.06009","7684d48e-eb5a-47da-9ce7-1679f7ff91d3",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,65,0.8,NA,2020
"NEON.PLA.D16.ABBY.06078","d1332611-d8fd-43b7-b135-c862bb42620e",2020-10-07,NA,"Individual","Mostly shaded","Live",1.7,130,3.1,1.6,NA,NA,4.1,NA,2020
"NEON.PLA.D16.ABBY.06083","de5b0d43-6aca-4e6d-a70b-739a1073b69d",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,70,0.8,NA,2020
"NEON.PLA.D16.ABBY.06071","b5ca919f-ea44-41b7-b3fb-55ba10033c51",2020-10-07,NA,"Individual","Mostly shaded","Live",3,10,1.9,1.7,NA,NA,2.4,NA,2020
"NEON.PLA.D16.ABBY.06167","2c3feb93-09f1-4393-bf61-f29d21296020",2020-10-07,NA,"Individual","Partially shaded","Live",17.7,130,5.3,4.7,NA,NA,12.4,NA,2020
"NEON.PLA.D16.ABBY.06088","647cee94-3373-46fe-a158-3bdb52b48cbb",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,75,0.5,NA,2020
"NEON.PLA.D16.ABBY.06069","136678e4-2357-4778-9a18-788480a1187e",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,55,1.1,NA,2020
"NEON.PLA.D16.ABBY.06086","ebf7aeff-6072-4717-a16f-c3e38ef3034e",2020-10-07,NA,"Individual","Partially shaded","Live",15.6,130,4.4,4,NA,NA,9.5,NA,2020
"NEON.PLA.D16.ABBY.06002","5d3e57d1-b4e9-4af4-9db9-eae2c0b1bf0b",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,95,1,NA,2020
"NEON.PLA.D16.ABBY.06056","97f87cb3-48a9-4d14-9747-950590bfd24f",2020-10-07,NA,"Individual","Partially shaded","Live",2.6,10,1.1,1,NA,NA,1.7,NA,2020
"NEON.PLA.D16.ABBY.06049","12e4f969-2e84-4e99-be42-57018366a1f4",2020-10-07,NA,"Individual","Partially shaded","Live",3.1,130,1.6,1.5,NA,NA,3.2,NA,2020
"NEON.PLA.D16.ABBY.06099","6f76ff1d-7e12-4c7c-94aa-9a8154610d10",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,100,0.6,NA,2020
"NEON.PLA.D16.ABBY.06043","4f5bb20a-4221-4df5-9c68-8954d2cccc92",2020-10-07,NA,"Individual","Partially shaded","Live",14.4,130,3.2,3.1,NA,NA,9.6,NA,2020
"NEON.PLA.D16.ABBY.06094","437e330e-6f1b-4233-b9e5-a8202ebddf27",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,20,0.4,NA,2020
"NEON.PLA.D16.ABBY.06046","33a7e7fd-49cb-4923-9bb6-fc25a72d6592",2020-10-07,NA,"Individual","Partially shaded","Live",2,130,3.1,2.7,NA,NA,3.9,NA,2020
"NEON.PLA.D16.ABBY.06181","f6e8fc47-06b9-4499-81c3-e5d5622874e8",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,80,0.6,NA,2020
"NEON.PLA.D16.ABBY.06182","576d562f-90ec-4f86-839d-1b37160146dc",2020-10-07,NA,"Individual","Partially shaded","Live",3.7,130,5.7,5.7,NA,NA,4.7,NA,2020
"NEON.PLA.D16.ABBY.06057","4662fa7a-3b6b-4369-b2b2-228f9204b5f4",2020-10-07,NA,"Individual","Partially shaded","Live",19.2,130,5.7,5.3,NA,NA,11,NA,2020
"NEON.PLA.D16.ABBY.06076","c66775b3-53b7-4d3c-97d7-86ed0c775629",2020-10-07,NA,"Individual","Partially shaded","Live",14.5,136,4.7,4.5,NA,NA,9.7,NA,2020
"NEON.PLA.D16.ABBY.06093","af45a597-ca37-4b3d-bc6d-bcb0d359fcdd",2020-10-07,NA,"Individual","Partially shaded","Live",12.1,130,4.1,4.4,NA,NA,7.4,NA,2020
"NEON.PLA.D16.ABBY.06023","db9e3aef-421f-43b5-b224-585f6f8f93f1",2020-10-07,NA,"Individual","Full sun","Live",2.4,130,4.2,3.3,NA,NA,3.5,NA,2020
"NEON.PLA.D16.ABBY.06087","fd667c08-6e3d-4cf9-b76e-ebd881eac80a",2020-10-07,NA,"Individual","Mostly shaded","Live",2.4,130,3.1,2.7,NA,NA,3.9,NA,2020
"NEON.PLA.D16.ABBY.06064","fabcb566-923d-4f6f-846d-6c73332338b8",2020-10-07,NA,"Individual","Mostly shaded","Live",40.7,137,6.9,6,NA,NA,36.5,NA,2020
"NEON.PLA.D16.ABBY.06018","66c5dfed-421b-448a-8322-fe41f87c7f77",2020-10-07,NA,"Individual","Full sun","Live",1.9,130,2.9,2.7,NA,NA,3.5,NA,2020
"NEON.PLA.D16.ABBY.06005","61a52546-572b-4c03-986d-ec1e72cc5331",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,40,0.6,NA,2020
"NEON.PLA.D16.ABBY.06192","86a134e3-3c3f-4b19-9059-7993388d3810",2020-10-07,NA,"Individual","Partially shaded","Live, disease damaged",17.7,130,5.3,5.1,NA,NA,10.8,"Swiss needle cast",2020
"NEON.PLA.D16.ABBY.06068","6686dd3d-f701-422e-ae47-a8f36d09fd9f",2020-10-07,NA,"Individual","Mostly shaded","Live",3.4,10,0.9,0.9,NA,NA,3.4,NA,2020
"NEON.PLA.D16.ABBY.06038","40585f92-2885-4c79-bbea-029967f2a55a",2020-10-07,NA,"Individual","Partially shaded","Live",12.1,140,4.1,4,NA,NA,9.8,NA,2020
"NEON.PLA.D16.ABBY.06096","3e93f43f-a190-4910-8312-0ccd35883a86",2020-10-07,NA,"Individual","Partially shaded","Live",10.7,136,3.9,3.6,NA,NA,8.5,NA,2020
"NEON.PLA.D16.ABBY.06197","78e8265c-83a0-44b1-9a5c-fee26cae3d63",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,100,0.7,NA,2020
"NEON.PLA.D16.ABBY.06013","3e782e3e-d785-4909-8fde-f1716b0d3244",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,100,0.7,NA,2020
"NEON.PLA.D16.ABBY.06042","e1505bbb-8cc2-444d-bf46-d01c10729213",2020-10-07,NA,"Individual","Partially shaded","Live",2.8,10,0.7,0.4,NA,NA,0.9,NA,2020
"NEON.PLA.D16.ABBY.06006","6c440fca-9efd-4a52-bdbd-df4a8957570f",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,95,1,NA,2020
"NEON.PLA.D16.ABBY.06024","952a0c02-c59c-4c13-adfc-8ee059184890",2020-10-07,NA,"Individual","Partially shaded","Live, other damage",72.6,130,7.6,7.4,NA,NA,41.3,NA,2020
"NEON.PLA.D16.ABBY.06066","a32e93d8-924b-4b33-a334-d699951c9b88",2020-10-07,NA,"Individual",NA,"Live",78.5,130,13.7,11.2,NA,NA,47.6,NA,2020
"NEON.PLA.D16.ABBY.06019","db630cd1-43cd-48f4-bd2d-1bb4b5701e83",2020-10-07,NA,"Individual","Partially shaded","Live, physically damaged",83.7,130,14.7,11.6,NA,NA,40.1,NA,2020
"NEON.PLA.D16.ABBY.06199","6e31aded-d520-4a7e-8a67-bc332fe3200f",2020-10-07,NA,"Patch","Full shade","Live",NA,NA,NA,NA,1,95,0.8,NA,2020
"NEON.PLA.D16.ABBY.06010","d1521bc6-6e7b-4741-aadf-94c7f190ab53",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,100,0.8,NA,2020
"NEON.PLA.D16.ABBY.06299","1246a865-2fc2-4d53-a6b7-38274d99d4ce",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.4,NA,2021
"NEON.PLA.D16.ABBY.06287","6c8749bb-03f8-4362-b4b2-e1af16d9f614",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06106","26adc6a3-0e3f-46ae-a597-798db61437de",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06290","83f3f0fe-2212-40a5-96f2-7433f4e6420c",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06109","46fb53dc-ecda-407e-b017-6e3e2296a5c0",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06295","e4fa8aea-be03-4de7-96b8-9a67321e3105",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06294","fc97924d-533e-46b0-aaab-8fc09e3f5131",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06282","42126c9e-76f7-4075-927a-096d0662bd5c",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.9,NA,2021
"NEON.PLA.D16.ABBY.06296","19ceebb1-a057-46c4-a039-83612723253d",2021-07-14,NA,"Patch",NA,"Live",NA,NA,NA,NA,0.063,10,0.1,NA,2021
"NEON.PLA.D16.ABBY.06108","3db9c299-6259-4228-ae29-f489895c99e9",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.5,0.2,NA,NA,0.4,NA,2021
"NEON.PLA.D16.ABBY.06297","d545db10-49a0-49cc-836f-fa113aa2bb87",2021-07-14,NA,"Individual",NA,"Live, insect damaged",NA,NA,0.3,0.3,NA,NA,1.3,NA,2021
"NEON.PLA.D16.ABBY.06119","a026c3ce-3e6d-402e-83dc-b2c1b0fa8de6",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.3,0.2,NA,NA,0.7,NA,2021
"NEON.PLA.D16.ABBY.06292","ad582ede-9844-4f1d-aa3f-e6d8ee67426b",2021-07-14,NA,"Patch",NA,"Live",NA,NA,NA,NA,0.063,10,0.2,NA,2021
